         S_ALK   S_I       S_ND       S_NH       S_NO       S_O        S_S      X_BA        X_BH   X_I       X_ND       X_P         X_S
t63   6.161882  40.0   3.180874  18.762889  13.996535  0.817189   6.470881  6.073944  141.071784  40.0   9.978470  2.319098   67.100904
t64   6.158433  40.0   3.170623  18.782955  14.064887  0.815492   6.464748  6.089422  141.244477  40.0   9.873062  2.352424   66.525903
t65   6.154928  40.0   3.160711  18.802042  14.133054  0.813795   6.458764  6.104851  141.415933  40.0   9.768646  2.385580   65.954358
t66   6.151367  40.0   3.151112  18.820181  14.201036  0.812099   6.452903  6.120233  141.586170  40.0   9.665216  2.418565   65.386259
t67   6.147755  40.0   3.141804  18.837399  14.268832  0.810406   6.447141  6.135566  141.755204  40.0   9.562764  2.451382   64.821596
t68   6.144091  40.0   3.132766  18.853722  14.336444  0.808718   6.441458  6.150851  141.923047  40.0   9.461284  2.484030   64.260358
t69   6.140379  40.0   3.123977  18.869176  14.403870  0.807036   6.435840  6.166089  142.089709  40.0   9.360770  2.516511   63.702537
t70   6.136619  40.0   3.115421  18.883784  14.471112  0.805360   6.430274  6.181279  142.255200  40.0   9.261215  2.548826   63.148122
t71   6.132814  40.0   3.107081  18.897567  14.538170  0.803693   6.424749  6.196422  142.419529  40.0   9.162612  2.580974   62.597103
t72   6.128964  40.0   3.098941  18.910545  14.605043  0.802033   6.419256  6.211516  142.582701  40.0   9.064954  2.612957   62.049472
t73   6.125072  40.0   3.090989  18.922739  14.671733  0.800383   6.413790  6.226564  142.744723  40.0   8.968235  2.644776   61.505218
t74   6.121138  40.0   3.083211  18.934167  14.738240  0.798742   6.408343  6.241564  142.905599  40.0   8.872448  2.676431   60.964332
t75   6.117163  40.0   3.075595  18.944846  14.804564  0.797111   6.402911  6.256517  143.065334  40.0   8.777587  2.707923   60.426805
t76   6.113149  40.0   3.068132  18.954792  14.870705  0.795489   6.397490  6.271423  143.223933  40.0   8.683644  2.739252   59.892628
t77   6.109097  40.0   3.060812  18.964021  14.936664  0.793878   6.392076  6.286282  143.381398  40.0   8.590613  2.770420   59.361792
t78   6.105007  40.0   3.053625  18.972547  15.002442  0.792278   6.386667  6.301095  143.537734  40.0   8.498488  2.801428   58.834287
t79   6.100882  40.0   3.046563  18.980384  15.068038  0.790688   6.381261  6.315860  143.692942  40.0   8.407261  2.832275   58.310104
t80   6.096721  40.0   3.039619  18.987546  15.133454  0.789109   6.375854  6.330579  143.847026  40.0   8.316926  2.862963   57.789236
t81   6.092525  40.0   3.032786  18.994046  15.198689  0.787540   6.370447  6.345252  143.999988  40.0   8.227477  2.893492   57.271674
t82   6.088296  40.0   3.026058  18.999895  15.263745  0.785983   6.365036  6.359878  144.151830  40.0   8.138907  2.923864   56.757408
t83   6.084035  40.0   3.019429  19.005104  15.328620  0.784437   6.359620  6.374457  144.302554  40.0   8.051209  2.954078   56.246432
t84   6.079741  40.0   3.012893  19.009686  15.393317  0.782902   6.354200  6.388991  144.452163  40.0   7.964377  2.984135   55.738735
t85   6.075415  40.0   3.006447  19.013650  15.457835  0.781378   6.348772  6.403478  144.600658  40.0   7.878404  3.014037   55.234311
t86   6.071059  40.0   3.000085  19.017006  15.522176  0.779865   6.343337  6.417920  144.748041  40.0   7.793284  3.043784   54.733152
t87   6.066673  40.0   2.993803  19.019765  15.586338  0.778363   6.337894  6.432316  144.894313  40.0   7.709009  3.073376   54.235249
t88   6.062258  40.0   2.987599  19.021936  15.650323  0.776873   6.332441  6.446666  145.039477  40.0   7.625574  3.102814   53.740595
t89   6.057814  40.0   2.981467  19.023528  15.714132  0.775394   6.326979  6.460970  145.183533  40.0   7.542973  3.132100   53.249182
t90   6.053342  40.0   2.975406  19.024549  15.777764  0.773926   6.321506  6.475229  145.326483  40.0   7.461197  3.161233   52.761003
t91   6.048842  40.0   2.969413  19.025009  15.841220  0.772470   6.316021  6.489443  145.468329  40.0   7.380242  3.190214   52.276050
t92   6.044315  40.0   2.963484  19.024915  15.904501  0.771025   6.310525  6.503611  145.609071  40.0   7.300101  3.219044   51.794316
t93   6.039762  40.0   2.957618  19.024276  15.967607  0.769591   6.305016  6.517734  145.748711  40.0   7.220767  3.247724   51.315795
t94   6.035183  40.0   2.951812  19.023099  16.030539  0.768169   6.299494  6.531812  145.887250  40.0   7.142234  3.276254   50.840478
t95   6.030578  40.0   2.946065  19.021392  16.093297  0.766759   6.293959  6.545845  146.024689  40.0   7.064495  3.304635   50.368360
t96   6.025949  40.0   2.940374  19.019163  16.155881  0.765360   6.288409  6.559833  146.161028  40.0   6.987545  3.332868   49.899433
t97   6.021295  40.0   2.934738  19.016418  16.218292  0.763972   6.282844  6.573777  146.296270  40.0   6.911376  3.360953   49.433692
t98   6.016617  40.0   2.929155  19.013165  16.280530  0.762596   6.277264  6.587676  146.430415  40.0   6.835984  3.388890   48.971128
t99   6.011915  40.0   2.923624  19.009411  16.342597  0.761231   6.271669  6.601530  146.563463  40.0   6.761360  3.416681   48.511737
t100  6.007191  40.0   2.918144  19.005162  16.404492  0.759878   6.266057  6.615340  146.695416  40.0   6.687500  3.444327   48.055511
t101  6.002444  40.0   2.912713  19.000426  16.466215  0.758536   6.260428  6.629106  146.826274  40.0   6.614397  3.471827   47.602445
t102  5.997674  40.0   2.907331  18.995208  16.527768  0.757206   6.254781  6.642827  146.956038  40.0   6.542045  3.499182   47.152533
t103  5.992883  40.0   2.901996  18.989515  16.589151  0.755888   6.249117  6.656505  147.084709  40.0   6.470437  3.526394   46.705769
t104  5.988071  40.0   2.896707  18.983354  16.650364  0.754581   6.243435  6.670138  147.212286  40.0   6.399568  3.553462   46.262146
t105  5.983237  40.0   2.891463  18.976731  16.711408  0.753286   6.237733  6.683728  147.338771  40.0   6.329432  3.580388   45.821660
t106  5.978384  40.0   2.886265  18.969652  16.772283  0.752002   6.232013  6.697274  147.464165  40.0   6.260022  3.607171   45.384305
t107  5.973510  40.0   2.881110  18.962122  16.832989  0.750731   6.226272  6.710776  147.588467  40.0   6.191333  3.633813   44.950076
t108  5.968616  40.0   2.875999  18.954149  16.893528  0.749471   6.220511  6.724235  147.711678  40.0   6.123358  3.660314   44.518967
t109  5.963703  40.0   2.870930  18.945737  16.953899  0.748222   6.214730  6.737650  147.833798  40.0   6.056093  3.686674   44.090973
t110  5.958771  40.0   2.865903  18.936893  17.014103  0.746985   6.208927  6.751022  147.954828  40.0   5.989530  3.712895   43.666089
t111  5.953820  40.0   2.860918  18.927622  17.074141  0.745761   6.203102  6.764351  148.074767  40.0   5.923664  3.738977   43.244310
t112  5.948851  40.0   2.855974  18.917931  17.134013  0.744547   6.197255  6.777637  148.193617  40.0   5.858489  3.764920   42.825631
t113  5.943865  40.0   2.851070  18.907824  17.193720  0.743346   6.191386  6.790880  148.311376  40.0   5.794000  3.790725   42.410048
t114  5.938860  40.0   2.846205  18.897307  17.253261  0.742157   6.185493  6.804080  148.428046  40.0   5.730191  3.816393   41.997556
t115  5.933839  40.0   2.841381  18.886387  17.312638  0.740979   6.179577  6.817237  148.543626  40.0   5.667056  3.841923   41.588151
t116  5.928801  40.0   2.836595  18.875067  17.371851  0.739813   6.173637  6.830352  148.658117  40.0   5.604589  3.867318   41.181827
t117  5.923747  40.0   2.831848  18.863354  17.430900  0.738659   6.167672  6.843424  148.771517  40.0   5.542785  3.892577   40.778582
t118  5.918676  40.0   2.827139  18.851252  17.489786  0.737517   6.161683  6.856454  148.883828  40.0   5.481639  3.917701   40.378410
t119  5.913590  40.0   2.822468  18.838768  17.548509  0.736387   6.155668  6.869441  148.995049  40.0   5.421145  3.942690   39.981308
