           h_S      h_OH    h_OHan      h_NO      h_NH  h_OA     h_SBH
t          NaN       NaN       NaN       NaN       NaN   NaN       NaN
t114  0.247918  0.888889  0.111111  0.971661  0.962202   0.8  0.935428
t115  0.247752  0.888889  0.111111  0.971756  0.962182   0.8  0.934798
t116  0.247586  0.888889  0.111111  0.971850  0.962161   0.8  0.934162
t117  0.247419  0.888889  0.111111  0.971943  0.962139   0.8  0.933519
t118  0.247251  0.888889  0.111111  0.972035  0.962117   0.8  0.932869
t119  0.247083  0.888889  0.111111  0.972126  0.962094   0.8  0.932213
t120  0.246913  0.888889  0.111111  0.972216  0.962070   0.8  0.931550
t121  0.246743  0.888889  0.111111  0.972306  0.962045   0.8  0.930880
t122  0.246572  0.888889  0.111111  0.972394  0.962019   0.8  0.930203
t123  0.246400  0.888889  0.111111  0.972482  0.961993   0.8  0.929520
t124  0.246228  0.888889  0.111111  0.972569  0.961966   0.8  0.928830
t125  0.246054  0.888889  0.111111  0.972656  0.961938   0.8  0.928133
t126  0.245880  0.888889  0.111111  0.972741  0.961909   0.8  0.927429
t127  0.245705  0.888889  0.111111  0.972826  0.961880   0.8  0.926718
t128  0.245529  0.888889  0.111111  0.972910  0.961850   0.8  0.926000
t129  0.245352  0.888889  0.111111  0.972993  0.961820   0.8  0.925275
t130  0.245174  0.888889  0.111111  0.973076  0.961788   0.8  0.924542
t131  0.244995  0.888889  0.111111  0.973157  0.961756   0.8  0.923803
t132  0.244815  0.888889  0.111111  0.973238  0.961724   0.8  0.923057
t133  0.244635  0.888889  0.111111  0.973319  0.961690   0.8  0.922303
t134  0.244453  0.888889  0.111111  0.973398  0.961656   0.8  0.921542
t135  0.244271  0.888889  0.111111  0.973477  0.961621   0.8  0.920774
t136  0.244087  0.888889  0.111111  0.973556  0.961586   0.8  0.919998
t137  0.243903  0.888889  0.111111  0.973633  0.961550   0.8  0.919215
t138  0.243717  0.888889  0.111111  0.973710  0.961513   0.8  0.918425
t139  0.243531  0.888889  0.111111  0.973786  0.961476   0.8  0.917627
t140  0.243343  0.888889  0.111111  0.973862  0.961437   0.8  0.916823
t141  0.243155  0.888889  0.111111  0.973937  0.961399   0.8  0.916010
t142  0.242966  0.888889  0.111111  0.974011  0.961359   0.8  0.915191
t143  0.242775  0.888889  0.111111  0.974085  0.961319   0.8  0.914364
t144  0.242584  0.888889  0.111111  0.974158  0.961279   0.8  0.913529
t145  0.242391  0.888889  0.111111  0.974231  0.961238   0.8  0.912687
t146  0.242198  0.888889  0.111111  0.974302  0.961196   0.8  0.911838
t147  0.242004  0.888889  0.111111  0.974374  0.961153   0.8  0.910982
t148  0.241808  0.888889  0.111111  0.974444  0.961110   0.8  0.910118
t149  0.241612  0.888889  0.111111  0.974515  0.961067   0.8  0.909247
t150  0.241414  0.888889  0.111111  0.974584  0.961022   0.8  0.908368
t151  0.241216  0.888889  0.111111  0.974653  0.960977   0.8  0.907483
t152  0.241016  0.888889  0.111111  0.974722  0.960932   0.8  0.906590
t153  0.240815  0.888889  0.111111  0.974789  0.960886   0.8  0.905689
t154  0.240614  0.888889  0.111111  0.974857  0.960839   0.8  0.904782
t155  0.240411  0.888889  0.111111  0.974924  0.960792   0.8  0.903867
t156  0.240208  0.888889  0.111111  0.974990  0.960744   0.8  0.902946
t157  0.240003  0.888889  0.111111  0.975056  0.960696   0.8  0.902017
t158  0.239798  0.888889  0.111111  0.975121  0.960647   0.8  0.901082
t159  0.239591  0.888889  0.111111  0.975185  0.960597   0.8  0.900139
t160  0.239383  0.888889  0.111111  0.975250  0.960547   0.8  0.899190
t161  0.239175  0.888889  0.111111  0.975313  0.960496   0.8  0.898234
t162  0.238965  0.888889  0.111111  0.975376  0.960445   0.8  0.897272
t163  0.238755  0.888889  0.111111  0.975439  0.960393   0.8  0.896302
t164  0.238544  0.888889  0.111111  0.975501  0.960341   0.8  0.895327
t165  0.238332  0.888889  0.111111  0.975563  0.960288   0.8  0.894345
t166  0.238118  0.888889  0.111111  0.975624  0.960234   0.8  0.893357
t167  0.237904  0.888889  0.111111  0.975685  0.960180   0.8  0.892362
t168  0.237690  0.888889  0.111111  0.975745  0.960126   0.8  0.891362
t169  0.237474  0.888889  0.111111  0.975805  0.960071   0.8  0.890356
t170  0.237257  0.888889  0.111111  0.975864  0.960015   0.8  0.889344
t171  0.237040  0.888889  0.111111  0.975923  0.959959   0.8  0.888327
t172  0.236822  0.888889  0.111111  0.975982  0.959902   0.8  0.887304
t173  0.236603  0.888889  0.111111  0.976040  0.959845   0.8  0.886276
t174  0.236383  0.888889  0.111111  0.976097  0.959787   0.8  0.885243
t175  0.236163  0.888889  0.111111  0.976155  0.959728   0.8  0.884205
t176  0.235942  0.888889  0.111111  0.976211  0.959669   0.8  0.883162
t177  0.235720  0.888889  0.111111  0.976268  0.959610   0.8  0.882114
t178  0.235498  0.888889  0.111111  0.976323  0.959550   0.8  0.881063
t179  0.235275  0.888889  0.111111  0.976379  0.959489   0.8  0.880007
t180  0.235052  0.888889  0.111111  0.976434  0.959428   0.8  0.878947
t181  0.234828  0.888889  0.111111  0.976489  0.959366   0.8  0.877884
t182  0.234604  0.888889  0.111111  0.976543  0.959304   0.8  0.876817
t183  0.234379  0.888889  0.111111  0.976597  0.959242   0.8  0.875746
t184  0.234154  0.888889  0.111111  0.976650  0.959178   0.8  0.874673
t185  0.233929  0.888889  0.111111  0.976703  0.959114   0.8  0.873597
t186  0.233703  0.888889  0.111111  0.976756  0.959050   0.8  0.872519
t187  0.233477  0.888889  0.111111  0.976808  0.958985   0.8  0.871438
t188  0.233251  0.888889  0.111111  0.976860  0.958920   0.8  0.870355
t189  0.233024  0.888889  0.111111  0.976912  0.958854   0.8  0.869271
t190  0.232798  0.888889  0.111111  0.976963  0.958788   0.8  0.868185
t191  0.232571  0.888889  0.111111  0.977014  0.958721   0.8  0.867098
t192  0.232345  0.888889  0.111111  0.977064  0.958653   0.8  0.866010
t193  0.232118  0.888889  0.111111  0.977115  0.958585   0.8  0.864922
t194  0.231892  0.888889  0.111111  0.977164  0.958517   0.8  0.863834
t195  0.231665  0.888889  0.111111  0.977214  0.958448   0.8  0.862745
t196  0.231439  0.888889  0.111111  0.977263  0.958378   0.8  0.861657
t197  0.231213  0.888889  0.111111  0.977312  0.958308   0.8  0.860569
t198  0.230988  0.888889  0.111111  0.977360  0.958237   0.8  0.859483
t199  0.230762  0.888889  0.111111  0.977408  0.958166   0.8  0.858398
t200  0.230538  0.888889  0.111111  0.977456  0.958095   0.8  0.857314
t201  0.230313  0.888889  0.111111  0.977503  0.958022   0.8  0.856233
t202  0.230090  0.888889  0.111111  0.977550  0.957950   0.8  0.855154
t203  0.229866  0.888889  0.111111  0.977597  0.957876   0.8  0.854077
t204  0.229644  0.888889  0.111111  0.977643  0.957803   0.8  0.853004
t205  0.229422  0.888889  0.111111  0.977689  0.957728   0.8  0.851933
t206  0.229201  0.888889  0.111111  0.977735  0.957654   0.8  0.850867
t207  0.228981  0.888889  0.111111  0.977781  0.957578   0.8  0.849804
t208  0.228762  0.888889  0.111111  0.977826  0.957502   0.8  0.848746
t209  0.228544  0.888889  0.111111  0.977871  0.957426   0.8  0.847692
t210  0.228327  0.888889  0.111111  0.977915  0.957349   0.8  0.846644
t211  0.228111  0.888889  0.111111  0.977959  0.957271   0.8  0.845601
t212  0.227896  0.888889  0.111111  0.978003  0.957193   0.8  0.844563
t213  0.227682  0.888889  0.111111  0.978047  0.957115   0.8  0.843531
t214  0.227470  0.888889  0.111111  0.978090  0.957036   0.8  0.842506
t215  0.227259  0.888889  0.111111  0.978133  0.956956   0.8  0.841487
t216  0.227050  0.888889  0.111111  0.978176  0.956876   0.8  0.840475
t217  0.226842  0.888889  0.111111  0.978219  0.956796   0.8  0.839471
t218  0.226635  0.888889  0.111111  0.978261  0.956714   0.8  0.838474
t219  0.226430  0.888889  0.111111  0.978303  0.956633   0.8  0.837484
t220  0.226227  0.888889  0.111111  0.978344  0.956551   0.8  0.836503
t221  0.226026  0.888889  0.111111  0.978386  0.956468   0.8  0.835530
t222  0.225826  0.888889  0.111111  0.978427  0.956385   0.8  0.834566
t223  0.225628  0.888889  0.111111  0.978468  0.956301   0.8  0.833611
t224  0.225432  0.888889  0.111111  0.978508  0.956217   0.8  0.832665
t225  0.225238  0.888889  0.111111  0.978548  0.956132   0.8  0.831729
t226  0.225046  0.888889  0.111111  0.978589  0.956046   0.8  0.830802
t227  0.224856  0.888889  0.111111  0.978628  0.955961   0.8  0.829885
t228  0.224668  0.888889  0.111111  0.978668  0.955874   0.8  0.828979
t229  0.224483  0.888889  0.111111  0.978707  0.955787   0.8  0.828083
t230  0.224299  0.888889  0.111111  0.978746  0.955700   0.8  0.827197
t231  0.224118  0.888889  0.111111  0.978785  0.955612   0.8  0.826322
t232  0.223938  0.888889  0.111111  0.978823  0.955524   0.8  0.825458
t233  0.223762  0.888889  0.111111  0.978861  0.955435   0.8  0.824606
t234  0.223587  0.888889  0.111111  0.978899  0.955345   0.8  0.823764
t235  0.223415  0.888889  0.111111  0.978937  0.955255   0.8  0.822934
t236  0.223245  0.888889  0.111111  0.978975  0.955165   0.8  0.822116
t237  0.223078  0.888889  0.111111  0.979012  0.955074   0.8  0.821309
t238  0.222913  0.888889  0.111111  0.979049  0.954982   0.8  0.820515
t239  0.222751  0.888889  0.111111  0.979086  0.954890   0.8  0.819732
t240  0.222591  0.888889  0.111111  0.979122  0.954798   0.8  0.818962
t241  0.222434  0.888889  0.111111  0.979158  0.954705   0.8  0.818203
t242  0.222279  0.888889  0.111111  0.979194  0.954611   0.8  0.817457
t243  0.222127  0.888889  0.111111  0.979230  0.954517   0.8  0.816723
t244  0.221978  0.888889  0.111111  0.979266  0.954423   0.8  0.816002
t245  0.221831  0.888889  0.111111  0.979301  0.954328   0.8  0.815293
t246  0.221686  0.888889  0.111111  0.979336  0.954233   0.8  0.814596
t247  0.221545  0.888889  0.111111  0.979371  0.954137   0.8  0.813912
t248  0.221406  0.888889  0.111111  0.979406  0.954040   0.8  0.813240
t249  0.221269  0.888889  0.111111  0.979440  0.953943   0.8  0.812581
t250  0.221136  0.888889  0.111111  0.979475  0.953846   0.8  0.811935
t251  0.221004  0.888889  0.111111  0.979509  0.953748   0.8  0.811301
t252  0.220876  0.888889  0.111111  0.979542  0.953650   0.8  0.810679
t253  0.220750  0.888889  0.111111  0.979576  0.953551   0.8  0.810070
t254  0.220627  0.888889  0.111111  0.979609  0.953452   0.8  0.809473
t255  0.220506  0.888889  0.111111  0.979643  0.953352   0.8  0.808889
t256  0.220388  0.888889  0.111111  0.979676  0.953252   0.8  0.808317
t257  0.220273  0.888889  0.111111  0.979708  0.953151   0.8  0.807757
t258  0.220160  0.888889  0.111111  0.979741  0.953050   0.8  0.807209
t259  0.220050  0.888889  0.111111  0.979773  0.952949   0.8  0.806674
t260  0.219943  0.888889  0.111111  0.979805  0.952847   0.8  0.806150
t261  0.219838  0.888889  0.111111  0.979837  0.952744   0.8  0.805638
t262  0.219735  0.888889  0.111111  0.979869  0.952641   0.8  0.805138
t263  0.219635  0.888889  0.111111  0.979900  0.952538   0.8  0.804650
t264  0.219538  0.888889  0.111111  0.979932  0.952434   0.8  0.804173
t265  0.219443  0.888889  0.111111  0.979963  0.952330   0.8  0.803708
t266  0.219351  0.888889  0.111111  0.979994  0.952225   0.8  0.803254
t267  0.219260  0.888889  0.111111  0.980025  0.952120   0.8  0.802812
t268  0.219173  0.888889  0.111111  0.980055  0.952015   0.8  0.802380
t269  0.219087  0.888889  0.111111  0.980085  0.951909   0.8  0.801959
t270  0.219005  0.888889  0.111111  0.980116  0.951803   0.8  0.801550
t271  0.218924  0.888889  0.111111  0.980146  0.951696   0.8  0.801151
t272  0.218846  0.888889  0.111111  0.980175  0.951589   0.8  0.800762
t273  0.218769  0.888889  0.111111  0.980205  0.951481   0.8  0.800384
t274  0.218696  0.888889  0.111111  0.980234  0.951374   0.8  0.800016
t275  0.218624  0.888889  0.111111  0.980264  0.951265   0.8  0.799658
t276  0.218555  0.888889  0.111111  0.980293  0.951157   0.8  0.799310
t277  0.218487  0.888889  0.111111  0.980321  0.951048   0.8  0.798972
t278  0.218422  0.888889  0.111111  0.980350  0.950938   0.8  0.798643
t279  0.218359  0.888889  0.111111  0.980379  0.950828   0.8  0.798324
t280  0.218298  0.888889  0.111111  0.980407  0.950718   0.8  0.798014
t281  0.218238  0.888889  0.111111  0.980435  0.950607   0.8  0.797713
