        H_grow  Han_grow    A_grow   decay_H   decay_A   Ammonia  hydro_org   hydro_N
t          NaN       NaN       NaN       NaN       NaN       NaN        NaN       NaN
t133  0.001510  0.000147  0.000055  0.000868  0.000011  0.000391   0.002225  0.000299
t134  0.001510  0.000147  0.000055  0.000868  0.000011  0.000391   0.002225  0.000299
t135  0.001509  0.000147  0.000055  0.000869  0.000011  0.000390   0.002224  0.000299
t136  0.001509  0.000147  0.000055  0.000869  0.000011  0.000390   0.002224  0.000298
t137  0.001509  0.000147  0.000055  0.000870  0.000011  0.000390   0.002223  0.000298
t138  0.001509  0.000147  0.000055  0.000871  0.000011  0.000389   0.002223  0.000298
t139  0.001508  0.000147  0.000056  0.000871  0.000011  0.000389   0.002222  0.000297
t140  0.001508  0.000147  0.000056  0.000872  0.000011  0.000389   0.002222  0.000297
t141  0.001508  0.000147  0.000056  0.000872  0.000011  0.000388   0.002221  0.000297
t142  0.001508  0.000147  0.000056  0.000873  0.000011  0.000388   0.002220  0.000296
t143  0.001507  0.000147  0.000056  0.000873  0.000011  0.000388   0.002220  0.000296
t144  0.001507  0.000147  0.000056  0.000874  0.000011  0.000387   0.002219  0.000296
t145  0.001507  0.000147  0.000056  0.000874  0.000011  0.000387   0.002218  0.000295
t146  0.001506  0.000147  0.000056  0.000875  0.000011  0.000387   0.002217  0.000295
t147  0.001506  0.000147  0.000056  0.000875  0.000011  0.000386   0.002216  0.000295
t148  0.001505  0.000147  0.000056  0.000875  0.000011  0.000386   0.002215  0.000294
t149  0.001505  0.000147  0.000056  0.000876  0.000011  0.000386   0.002214  0.000294
t150  0.001504  0.000147  0.000057  0.000876  0.000011  0.000386   0.002213  0.000294
t151  0.001504  0.000147  0.000057  0.000877  0.000011  0.000385   0.002212  0.000293
t152  0.001503  0.000147  0.000057  0.000877  0.000011  0.000385   0.002211  0.000293
t153  0.001503  0.000147  0.000057  0.000878  0.000011  0.000385   0.002210  0.000293
t154  0.001502  0.000146  0.000057  0.000878  0.000011  0.000384   0.002209  0.000292
t155  0.001502  0.000146  0.000057  0.000879  0.000011  0.000384   0.002208  0.000292
t156  0.001501  0.000146  0.000057  0.000879  0.000011  0.000384   0.002207  0.000292
t157  0.001501  0.000146  0.000057  0.000879  0.000011  0.000383   0.002205  0.000291
t158  0.001500  0.000146  0.000057  0.000880  0.000011  0.000383   0.002204  0.000291
t159  0.001500  0.000146  0.000057  0.000880  0.000011  0.000383   0.002203  0.000291
t160  0.001499  0.000146  0.000057  0.000881  0.000011  0.000382   0.002201  0.000291
t161  0.001498  0.000146  0.000057  0.000881  0.000011  0.000382   0.002200  0.000290
t162  0.001498  0.000146  0.000058  0.000881  0.000011  0.000382   0.002199  0.000290
t163  0.001497  0.000146  0.000058  0.000882  0.000011  0.000381   0.002197  0.000290
t164  0.001496  0.000146  0.000058  0.000882  0.000011  0.000381   0.002196  0.000289
t165  0.001495  0.000146  0.000058  0.000882  0.000011  0.000381   0.002194  0.000289
t166  0.001495  0.000146  0.000058  0.000883  0.000011  0.000380   0.002193  0.000289
t167  0.001494  0.000146  0.000058  0.000883  0.000011  0.000380   0.002191  0.000288
t168  0.001493  0.000146  0.000058  0.000883  0.000011  0.000380   0.002189  0.000288
t169  0.001492  0.000146  0.000058  0.000884  0.000011  0.000379   0.002188  0.000288
t170  0.001491  0.000146  0.000058  0.000884  0.000011  0.000379   0.002186  0.000287
t171  0.001491  0.000145  0.000058  0.000884  0.000011  0.000379   0.002184  0.000287
t172  0.001490  0.000145  0.000058  0.000885  0.000011  0.000379   0.002183  0.000287
t173  0.001489  0.000145  0.000058  0.000885  0.000011  0.000378   0.002181  0.000286
t174  0.001488  0.000145  0.000059  0.000885  0.000011  0.000378   0.002179  0.000286
t175  0.001487  0.000145  0.000059  0.000886  0.000011  0.000378   0.002177  0.000286
t176  0.001486  0.000145  0.000059  0.000886  0.000011  0.000377   0.002175  0.000285
t177  0.001485  0.000145  0.000059  0.000886  0.000011  0.000377   0.002173  0.000285
t178  0.001484  0.000145  0.000059  0.000886  0.000012  0.000377   0.002171  0.000285
t179  0.001483  0.000145  0.000059  0.000887  0.000012  0.000376   0.002170  0.000284
t180  0.001482  0.000145  0.000059  0.000887  0.000012  0.000376   0.002168  0.000284
t181  0.001481  0.000145  0.000059  0.000887  0.000012  0.000376   0.002166  0.000284
t182  0.001480  0.000145  0.000059  0.000887  0.000012  0.000375   0.002163  0.000283
t183  0.001479  0.000144  0.000059  0.000888  0.000012  0.000375   0.002161  0.000283
t184  0.001478  0.000144  0.000059  0.000888  0.000012  0.000375   0.002159  0.000283
t185  0.001477  0.000144  0.000059  0.000888  0.000012  0.000374   0.002157  0.000282
t186  0.001476  0.000144  0.000059  0.000888  0.000012  0.000374   0.002155  0.000282
t187  0.001475  0.000144  0.000060  0.000889  0.000012  0.000374   0.002153  0.000282
t188  0.001474  0.000144  0.000060  0.000889  0.000012  0.000373   0.002151  0.000281
t189  0.001473  0.000144  0.000060  0.000889  0.000012  0.000373   0.002149  0.000281
t190  0.001472  0.000144  0.000060  0.000889  0.000012  0.000373   0.002146  0.000281
t191  0.001471  0.000144  0.000060  0.000889  0.000012  0.000372   0.002144  0.000280
t192  0.001470  0.000144  0.000060  0.000889  0.000012  0.000372   0.002142  0.000280
t193  0.001468  0.000143  0.000060  0.000890  0.000012  0.000372   0.002140  0.000280
t194  0.001467  0.000143  0.000060  0.000890  0.000012  0.000371   0.002137  0.000279
t195  0.001466  0.000143  0.000060  0.000890  0.000012  0.000371   0.002135  0.000279
t196  0.001465  0.000143  0.000060  0.000890  0.000012  0.000371   0.002133  0.000279
t197  0.001464  0.000143  0.000060  0.000890  0.000012  0.000370   0.002130  0.000278
t198  0.001463  0.000143  0.000060  0.000890  0.000012  0.000370   0.002128  0.000278
t199  0.001461  0.000143  0.000060  0.000891  0.000012  0.000370   0.002126  0.000278
t200  0.001460  0.000143  0.000061  0.000891  0.000012  0.000369   0.002123  0.000277
t201  0.001459  0.000143  0.000061  0.000891  0.000012  0.000369   0.002121  0.000277
t202  0.001458  0.000143  0.000061  0.000891  0.000012  0.000369   0.002119  0.000277
t203  0.001457  0.000142  0.000061  0.000891  0.000012  0.000368   0.002116  0.000276
t204  0.001455  0.000142  0.000061  0.000891  0.000012  0.000368   0.002114  0.000276
t205  0.001454  0.000142  0.000061  0.000891  0.000012  0.000368   0.002112  0.000276
t206  0.001453  0.000142  0.000061  0.000891  0.000012  0.000367   0.002109  0.000275
t207  0.001452  0.000142  0.000061  0.000892  0.000012  0.000367   0.002107  0.000275
t208  0.001450  0.000142  0.000061  0.000892  0.000012  0.000367   0.002104  0.000275
t209  0.001449  0.000142  0.000061  0.000892  0.000012  0.000366   0.002102  0.000274
t210  0.001448  0.000142  0.000061  0.000892  0.000012  0.000366   0.002099  0.000274
t211  0.001447  0.000141  0.000061  0.000892  0.000012  0.000366   0.002097  0.000273
t212  0.001445  0.000141  0.000061  0.000892  0.000012  0.000365   0.002095  0.000273
t213  0.001444  0.000141  0.000061  0.000892  0.000012  0.000365   0.002092  0.000273
t214  0.001443  0.000141  0.000061  0.000892  0.000012  0.000365   0.002090  0.000272
t215  0.001442  0.000141  0.000062  0.000892  0.000012  0.000364   0.002087  0.000272
t216  0.001440  0.000141  0.000062  0.000892  0.000012  0.000364   0.002085  0.000272
t217  0.001439  0.000141  0.000062  0.000892  0.000012  0.000364   0.002083  0.000272
t218  0.001438  0.000141  0.000062  0.000892  0.000012  0.000363   0.002080  0.000271
t219  0.001437  0.000141  0.000062  0.000892  0.000012  0.000363   0.002078  0.000271
t220  0.001435  0.000140  0.000062  0.000892  0.000012  0.000363   0.002075  0.000271
t221  0.001434  0.000140  0.000062  0.000892  0.000012  0.000362   0.002073  0.000270
t222  0.001433  0.000140  0.000062  0.000892  0.000012  0.000362   0.002071  0.000270
t223  0.001432  0.000140  0.000062  0.000892  0.000012  0.000362   0.002068  0.000270
t224  0.001430  0.000140  0.000062  0.000892  0.000012  0.000361   0.002066  0.000269
t225  0.001429  0.000140  0.000062  0.000892  0.000012  0.000361   0.002064  0.000269
t226  0.001428  0.000140  0.000062  0.000892  0.000012  0.000361   0.002061  0.000269
t227  0.001427  0.000140  0.000062  0.000892  0.000012  0.000360   0.002059  0.000268
t228  0.001425  0.000140  0.000062  0.000892  0.000012  0.000360   0.002057  0.000268
t229  0.001424  0.000139  0.000062  0.000892  0.000012  0.000360   0.002055  0.000268
t230  0.001423  0.000139  0.000063  0.000892  0.000012  0.000359   0.002052  0.000267
t231  0.001422  0.000139  0.000063  0.000892  0.000012  0.000359   0.002050  0.000267
t232  0.001421  0.000139  0.000063  0.000892  0.000012  0.000359   0.002048  0.000267
t233  0.001420  0.000139  0.000063  0.000892  0.000012  0.000358   0.002046  0.000267
t234  0.001418  0.000139  0.000063  0.000892  0.000012  0.000358   0.002044  0.000266
t235  0.001417  0.000139  0.000063  0.000892  0.000012  0.000358   0.002041  0.000266
t236  0.001416  0.000139  0.000063  0.000892  0.000012  0.000358   0.002039  0.000266
t237  0.001415  0.000139  0.000063  0.000892  0.000012  0.000357   0.002037  0.000265
t238  0.001414  0.000138  0.000063  0.000892  0.000012  0.000357   0.002035  0.000265
t239  0.001413  0.000138  0.000063  0.000892  0.000012  0.000357   0.002033  0.000265
t240  0.001412  0.000138  0.000063  0.000892  0.000012  0.000356   0.002031  0.000265
t241  0.001410  0.000138  0.000063  0.000892  0.000012  0.000356   0.002029  0.000264
t242  0.001409  0.000138  0.000063  0.000892  0.000012  0.000356   0.002027  0.000264
t243  0.001408  0.000138  0.000063  0.000892  0.000012  0.000355   0.002025  0.000264
t244  0.001407  0.000138  0.000063  0.000891  0.000012  0.000355   0.002023  0.000264
t245  0.001406  0.000138  0.000063  0.000891  0.000012  0.000355   0.002021  0.000263
t246  0.001405  0.000138  0.000064  0.000891  0.000012  0.000355   0.002019  0.000263
t247  0.001404  0.000138  0.000064  0.000891  0.000013  0.000354   0.002017  0.000263
t248  0.001403  0.000137  0.000064  0.000891  0.000013  0.000354   0.002015  0.000263
t249  0.001402  0.000137  0.000064  0.000891  0.000013  0.000354   0.002014  0.000262
t250  0.001401  0.000137  0.000064  0.000891  0.000013  0.000354   0.002012  0.000262
t251  0.001400  0.000137  0.000064  0.000891  0.000013  0.000353   0.002010  0.000262
t252  0.001399  0.000137  0.000064  0.000891  0.000013  0.000353   0.002008  0.000262
t253  0.001398  0.000137  0.000064  0.000891  0.000013  0.000353   0.002006  0.000261
t254  0.001397  0.000137  0.000064  0.000891  0.000013  0.000353   0.002005  0.000261
t255  0.001396  0.000137  0.000064  0.000890  0.000013  0.000352   0.002003  0.000261
t256  0.001395  0.000137  0.000064  0.000890  0.000013  0.000352   0.002001  0.000261
t257  0.001394  0.000137  0.000064  0.000890  0.000013  0.000352   0.002000  0.000261
t258  0.001394  0.000137  0.000064  0.000890  0.000013  0.000352   0.001998  0.000260
t259  0.001393  0.000136  0.000064  0.000890  0.000013  0.000351   0.001997  0.000260
t260  0.001392  0.000136  0.000064  0.000890  0.000013  0.000351   0.001995  0.000260
t261  0.001391  0.000136  0.000064  0.000890  0.000013  0.000351   0.001993  0.000260
t262  0.001390  0.000136  0.000064  0.000890  0.000013  0.000351   0.001992  0.000260
t263  0.001389  0.000136  0.000064  0.000889  0.000013  0.000350   0.001990  0.000259
t264  0.001388  0.000136  0.000065  0.000889  0.000013  0.000350   0.001989  0.000259
t265  0.001388  0.000136  0.000065  0.000889  0.000013  0.000350   0.001988  0.000259
t266  0.001387  0.000136  0.000065  0.000889  0.000013  0.000350   0.001986  0.000259
