          S_ALK   S_I       S_ND       S_NH       S_NO  S_O        S_S  X_BA        X_BH   X_I       X_ND       X_P         X_S
t86    6.460968  40.0   6.714682  15.450501  16.496948  0.0  43.645220   0.0  106.344859  40.0  17.970126  0.293578  107.697615
t87    6.465659  40.0   6.683508  15.477123  16.457890  0.0  43.420293   0.0  106.458051  40.0  17.966510  0.297066  107.694156
t88    6.470336  40.0   6.652503  15.503592  16.418885  0.0  43.195733   0.0  106.571025  40.0  17.962895  0.300556  107.690698
t89    6.474998  40.0   6.621666  15.529907  16.379934  0.0  42.971542   0.0  106.683781  40.0  17.959279  0.304048  107.687242
t90    6.479645  40.0   6.590996  15.556071  16.341038  0.0  42.747725   0.0  106.796315  40.0  17.955663  0.307541  107.683788
t91    6.484278  40.0   6.560492  15.582084  16.302196  0.0  42.524285   0.0  106.908626  40.0  17.952048  0.311035  107.680337
t92    6.488895  40.0   6.530155  15.607946  16.263410  0.0  42.301226   0.0  107.020711  40.0  17.948432  0.314531  107.676887
t93    6.493498  40.0   6.499983  15.633658  16.224681  0.0  42.078551   0.0  107.132569  40.0  17.944817  0.318028  107.673439
t94    6.498087  40.0   6.469976  15.659222  16.186008  0.0  41.856265   0.0  107.244197  40.0  17.941202  0.321527  107.669993
t95    6.502660  40.0   6.440132  15.684638  16.147392  0.0  41.634371   0.0  107.355594  40.0  17.937587  0.325027  107.666549
t96    6.507219  40.0   6.410452  15.709906  16.108834  0.0  41.412874   0.0  107.466756  40.0  17.933972  0.328529  107.663107
t97    6.511764  40.0   6.380935  15.735028  16.070335  0.0  41.191776   0.0  107.577683  40.0  17.930357  0.332032  107.659667
t98    6.516294  40.0   6.351580  15.760005  16.031894  0.0  40.971081   0.0  107.688372  40.0  17.926742  0.335536  107.656229
t99    6.520809  40.0   6.322386  15.784836  15.993514  0.0  40.750794   0.0  107.798820  40.0  17.923128  0.339042  107.652793
t100   6.525309  40.0   6.293353  15.809524  15.955193  0.0  40.530919   0.0  107.909026  40.0  17.919513  0.342549  107.649359
t101   6.529795  40.0   6.264480  15.834068  15.916934  0.0  40.311458   0.0  108.018987  40.0  17.915899  0.346058  107.645928
t102   6.534267  40.0   6.235766  15.858469  15.878736  0.0  40.092416   0.0  108.128702  40.0  17.912285  0.349568  107.642498
t103   6.538724  40.0   6.207211  15.882730  15.840600  0.0  39.873798   0.0  108.238167  40.0  17.908672  0.353080  107.639071
t104   6.543166  40.0   6.178815  15.906849  15.802526  0.0  39.655606   0.0  108.347382  40.0  17.905058  0.356592  107.635646
t105   6.547594  40.0   6.150576  15.930828  15.764516  0.0  39.437845   0.0  108.456343  40.0  17.901445  0.360106  107.632223
t106   6.552007  40.0   6.122493  15.954667  15.726570  0.0  39.220518   0.0  108.565048  40.0  17.897832  0.363622  107.628802
t107   6.556406  40.0   6.094567  15.978368  15.688688  0.0  39.003630   0.0  108.673496  40.0  17.894220  0.367139  107.625384
