       H_grow  Han_grow  A_grow   decay_H  decay_A   Ammonia  hydro_org   hydro_N
t         NaN       NaN     NaN       NaN      NaN       NaN        NaN       NaN
t103      0.0  0.002591     0.0  0.000626      0.0  0.000625   0.000624  0.000104
t104      0.0  0.002588     0.0  0.000626      0.0  0.000622   0.000625  0.000104
t105      0.0  0.002586     0.0  0.000627      0.0  0.000620   0.000626  0.000104
t106      0.0  0.002584     0.0  0.000628      0.0  0.000618   0.000626  0.000104
t107      0.0  0.002581     0.0  0.000628      0.0  0.000616   0.000627  0.000104
t108      0.0  0.002579     0.0  0.000629      0.0  0.000613   0.000627  0.000104
t109      0.0  0.002576     0.0  0.000629      0.0  0.000611   0.000628  0.000104
t110      0.0  0.002574     0.0  0.000630      0.0  0.000609   0.000628  0.000104
t111      0.0  0.002571     0.0  0.000631      0.0  0.000607   0.000629  0.000105
t112      0.0  0.002568     0.0  0.000631      0.0  0.000605   0.000629  0.000105
t113      0.0  0.002566     0.0  0.000632      0.0  0.000603   0.000630  0.000105
t114      0.0  0.002563     0.0  0.000633      0.0  0.000601   0.000631  0.000105
t115      0.0  0.002560     0.0  0.000633      0.0  0.000598   0.000631  0.000105
t116      0.0  0.002558     0.0  0.000634      0.0  0.000596   0.000632  0.000105
t117      0.0  0.002555     0.0  0.000634      0.0  0.000594   0.000632  0.000105
t118      0.0  0.002552     0.0  0.000635      0.0  0.000592   0.000633  0.000105
t119      0.0  0.002549     0.0  0.000636      0.0  0.000590   0.000633  0.000105
t120      0.0  0.002546     0.0  0.000636      0.0  0.000588   0.000634  0.000105
t121      0.0  0.002543     0.0  0.000637      0.0  0.000586   0.000634  0.000105
t122      0.0  0.002540     0.0  0.000637      0.0  0.000584   0.000635  0.000105
t123      0.0  0.002537     0.0  0.000638      0.0  0.000582   0.000636  0.000105
t124      0.0  0.002534     0.0  0.000639      0.0  0.000580   0.000636  0.000105
t125      0.0  0.002530     0.0  0.000639      0.0  0.000578   0.000637  0.000106
t126      0.0  0.002527     0.0  0.000640      0.0  0.000575   0.000637  0.000106
t127      0.0  0.002524     0.0  0.000640      0.0  0.000573   0.000638  0.000106
t128      0.0  0.002521     0.0  0.000641      0.0  0.000571   0.000638  0.000106
t129      0.0  0.002517     0.0  0.000642      0.0  0.000569   0.000639  0.000106
t130      0.0  0.002514     0.0  0.000642      0.0  0.000567   0.000639  0.000106
t131      0.0  0.002510     0.0  0.000643      0.0  0.000565   0.000640  0.000106
t132      0.0  0.002507     0.0  0.000643      0.0  0.000563   0.000640  0.000106
t133      0.0  0.002503     0.0  0.000644      0.0  0.000561   0.000641  0.000106
t134      0.0  0.002500     0.0  0.000645      0.0  0.000559   0.000641  0.000106
t135      0.0  0.002496     0.0  0.000645      0.0  0.000557   0.000642  0.000106
t136      0.0  0.002493     0.0  0.000646      0.0  0.000556   0.000642  0.000106
t137      0.0  0.002489     0.0  0.000646      0.0  0.000554   0.000643  0.000106
t138      0.0  0.002485     0.0  0.000647      0.0  0.000552   0.000643  0.000106
t139      0.0  0.002481     0.0  0.000647      0.0  0.000550   0.000644  0.000106
t140      0.0  0.002477     0.0  0.000648      0.0  0.000548   0.000644  0.000107
t141      0.0  0.002473     0.0  0.000649      0.0  0.000546   0.000645  0.000107
t142      0.0  0.002470     0.0  0.000649      0.0  0.000544   0.000645  0.000107
t143      0.0  0.002466     0.0  0.000650      0.0  0.000542   0.000646  0.000107
t144      0.0  0.002462     0.0  0.000650      0.0  0.000540   0.000646  0.000107
t145      0.0  0.002457     0.0  0.000651      0.0  0.000538   0.000647  0.000107
t146      0.0  0.002453     0.0  0.000651      0.0  0.000536   0.000647  0.000107
t147      0.0  0.002449     0.0  0.000652      0.0  0.000535   0.000648  0.000107
t148      0.0  0.002445     0.0  0.000653      0.0  0.000533   0.000648  0.000107
t149      0.0  0.002441     0.0  0.000653      0.0  0.000531   0.000649  0.000107
t150      0.0  0.002436     0.0  0.000654      0.0  0.000529   0.000649  0.000107
t151      0.0  0.002432     0.0  0.000654      0.0  0.000527   0.000650  0.000107
t152      0.0  0.002428     0.0  0.000655      0.0  0.000525   0.000650  0.000107
t153      0.0  0.002423     0.0  0.000655      0.0  0.000524   0.000651  0.000107
t154      0.0  0.002419     0.0  0.000656      0.0  0.000522   0.000651  0.000107
t155      0.0  0.002414     0.0  0.000656      0.0  0.000520   0.000652  0.000107
t156      0.0  0.002409     0.0  0.000657      0.0  0.000518   0.000652  0.000108
t157      0.0  0.002405     0.0  0.000657      0.0  0.000516   0.000653  0.000108
t158      0.0  0.002400     0.0  0.000658      0.0  0.000515   0.000653  0.000108
t159      0.0  0.002395     0.0  0.000659      0.0  0.000513   0.000654  0.000108
t160      0.0  0.002391     0.0  0.000659      0.0  0.000511   0.000654  0.000108
t161      0.0  0.002386     0.0  0.000660      0.0  0.000509   0.000654  0.000108
t162      0.0  0.002381     0.0  0.000660      0.0  0.000507   0.000655  0.000108
t163      0.0  0.002376     0.0  0.000661      0.0  0.000506   0.000655  0.000108
t164      0.0  0.002371     0.0  0.000661      0.0  0.000504   0.000656  0.000108
t165      0.0  0.002366     0.0  0.000662      0.0  0.000502   0.000656  0.000108
t166      0.0  0.002361     0.0  0.000662      0.0  0.000501   0.000657  0.000108
t167      0.0  0.002356     0.0  0.000663      0.0  0.000499   0.000657  0.000108
t168      0.0  0.002351     0.0  0.000663      0.0  0.000497   0.000658  0.000108
t169      0.0  0.002346     0.0  0.000664      0.0  0.000495   0.000658  0.000108
t170      0.0  0.002340     0.0  0.000664      0.0  0.000494   0.000658  0.000108
t171      0.0  0.002335     0.0  0.000665      0.0  0.000492   0.000659  0.000108
t172      0.0  0.002330     0.0  0.000665      0.0  0.000490   0.000659  0.000108
t173      0.0  0.002324     0.0  0.000666      0.0  0.000489   0.000660  0.000108
t174      0.0  0.002319     0.0  0.000666      0.0  0.000487   0.000660  0.000109
t175      0.0  0.002314     0.0  0.000667      0.0  0.000485   0.000661  0.000109
t176      0.0  0.002308     0.0  0.000667      0.0  0.000484   0.000661  0.000109
t177      0.0  0.002303     0.0  0.000668      0.0  0.000482   0.000661  0.000109
t178      0.0  0.002297     0.0  0.000668      0.0  0.000481   0.000662  0.000109
t179      0.0  0.002291     0.0  0.000669      0.0  0.000479   0.000662  0.000109
t180      0.0  0.002286     0.0  0.000669      0.0  0.000477   0.000663  0.000109
t181      0.0  0.002280     0.0  0.000670      0.0  0.000476   0.000663  0.000109
t182      0.0  0.002274     0.0  0.000670      0.0  0.000474   0.000664  0.000109
t183      0.0  0.002268     0.0  0.000671      0.0  0.000473   0.000664  0.000109
t184      0.0  0.002263     0.0  0.000671      0.0  0.000471   0.000664  0.000109
t185      0.0  0.002257     0.0  0.000672      0.0  0.000469   0.000665  0.000109
t186      0.0  0.002251     0.0  0.000672      0.0  0.000468   0.000665  0.000109
t187      0.0  0.002245     0.0  0.000673      0.0  0.000466   0.000666  0.000109
t188      0.0  0.002239     0.0  0.000673      0.0  0.000465   0.000666  0.000109
t189      0.0  0.002233     0.0  0.000673      0.0  0.000463   0.000666  0.000109
t190      0.0  0.002227     0.0  0.000674      0.0  0.000462   0.000667  0.000109
t191      0.0  0.002221     0.0  0.000674      0.0  0.000460   0.000667  0.000109
t192      0.0  0.002214     0.0  0.000675      0.0  0.000459   0.000667  0.000109
t193      0.0  0.002208     0.0  0.000675      0.0  0.000457   0.000668  0.000109
t194      0.0  0.002202     0.0  0.000676      0.0  0.000456   0.000668  0.000109
t195      0.0  0.002196     0.0  0.000676      0.0  0.000454   0.000669  0.000110
t196      0.0  0.002189     0.0  0.000677      0.0  0.000453   0.000669  0.000110
t197      0.0  0.002183     0.0  0.000677      0.0  0.000451   0.000669  0.000110
t198      0.0  0.002177     0.0  0.000678      0.0  0.000450   0.000670  0.000110
t199      0.0  0.002170     0.0  0.000678      0.0  0.000448   0.000670  0.000110
t200      0.0  0.002164     0.0  0.000678      0.0  0.000447   0.000670  0.000110
t201      0.0  0.002157     0.0  0.000679      0.0  0.000445   0.000671  0.000110
t202      0.0  0.002151     0.0  0.000679      0.0  0.000444   0.000671  0.000110
t203      0.0  0.002144     0.0  0.000680      0.0  0.000442   0.000671  0.000110
t204      0.0  0.002138     0.0  0.000680      0.0  0.000441   0.000672  0.000110
t205      0.0  0.002131     0.0  0.000680      0.0  0.000439   0.000672  0.000110
t206      0.0  0.002124     0.0  0.000681      0.0  0.000438   0.000672  0.000110
t207      0.0  0.002117     0.0  0.000681      0.0  0.000437   0.000673  0.000110
t208      0.0  0.002111     0.0  0.000682      0.0  0.000435   0.000673  0.000110
t209      0.0  0.002104     0.0  0.000682      0.0  0.000434   0.000674  0.000110
t210      0.0  0.002097     0.0  0.000683      0.0  0.000432   0.000674  0.000110
t211      0.0  0.002090     0.0  0.000683      0.0  0.000431   0.000674  0.000110
t212      0.0  0.002083     0.0  0.000683      0.0  0.000430   0.000674  0.000110
t213      0.0  0.002077     0.0  0.000684      0.0  0.000428   0.000675  0.000110
t214      0.0  0.002070     0.0  0.000684      0.0  0.000427   0.000675  0.000110
t215      0.0  0.002063     0.0  0.000685      0.0  0.000425   0.000675  0.000110
t216      0.0  0.002056     0.0  0.000685      0.0  0.000424   0.000676  0.000110
t217      0.0  0.002049     0.0  0.000685      0.0  0.000423   0.000676  0.000110
t218      0.0  0.002042     0.0  0.000686      0.0  0.000421   0.000676  0.000110
t219      0.0  0.002034     0.0  0.000686      0.0  0.000420   0.000677  0.000110
t220      0.0  0.002027     0.0  0.000686      0.0  0.000419   0.000677  0.000110
t221      0.0  0.002020     0.0  0.000687      0.0  0.000417   0.000677  0.000110
t222      0.0  0.002013     0.0  0.000687      0.0  0.000416   0.000678  0.000110
t223      0.0  0.002006     0.0  0.000688      0.0  0.000415   0.000678  0.000111
t224      0.0  0.001999     0.0  0.000688      0.0  0.000413   0.000678  0.000111
t225      0.0  0.001991     0.0  0.000688      0.0  0.000412   0.000678  0.000111
t226      0.0  0.001984     0.0  0.000689      0.0  0.000411   0.000679  0.000111
t227      0.0  0.001977     0.0  0.000689      0.0  0.000410   0.000679  0.000111
t228      0.0  0.001970     0.0  0.000689      0.0  0.000408   0.000679  0.000111
t229      0.0  0.001962     0.0  0.000690      0.0  0.000407   0.000680  0.000111
t230      0.0  0.001955     0.0  0.000690      0.0  0.000406   0.000680  0.000111
t231      0.0  0.001948     0.0  0.000690      0.0  0.000405   0.000680  0.000111
t232      0.0  0.001940     0.0  0.000691      0.0  0.000403   0.000680  0.000111
t233      0.0  0.001933     0.0  0.000691      0.0  0.000402   0.000681  0.000111
t234      0.0  0.001925     0.0  0.000691      0.0  0.000401   0.000681  0.000111
t235      0.0  0.001918     0.0  0.000692      0.0  0.000400   0.000681  0.000111
t236      0.0  0.001911     0.0  0.000692      0.0  0.000398   0.000681  0.000111
t237      0.0  0.001903     0.0  0.000692      0.0  0.000397   0.000682  0.000111
t238      0.0  0.001896     0.0  0.000693      0.0  0.000396   0.000682  0.000111
t239      0.0  0.001888     0.0  0.000693      0.0  0.000395   0.000682  0.000111
t240      0.0  0.001881     0.0  0.000693      0.0  0.000394   0.000682  0.000111
t241      0.0  0.001873     0.0  0.000694      0.0  0.000392   0.000683  0.000111
t242      0.0  0.001866     0.0  0.000694      0.0  0.000391   0.000683  0.000111
t243      0.0  0.001858     0.0  0.000694      0.0  0.000390   0.000683  0.000111
t244      0.0  0.001851     0.0  0.000695      0.0  0.000389   0.000683  0.000111
t245      0.0  0.001843     0.0  0.000695      0.0  0.000388   0.000684  0.000111
t246      0.0  0.001836     0.0  0.000695      0.0  0.000386   0.000684  0.000111
t247      0.0  0.001828     0.0  0.000696      0.0  0.000385   0.000684  0.000111
t248      0.0  0.001820     0.0  0.000696      0.0  0.000384   0.000684  0.000111
t249      0.0  0.001813     0.0  0.000696      0.0  0.000383   0.000685  0.000111
t250      0.0  0.001805     0.0  0.000696      0.0  0.000382   0.000685  0.000111
t251      0.0  0.001798     0.0  0.000697      0.0  0.000381   0.000685  0.000111
t252      0.0  0.001790     0.0  0.000697      0.0  0.000380   0.000685  0.000111
t253      0.0  0.001783     0.0  0.000697      0.0  0.000378   0.000685  0.000111
t254      0.0  0.001775     0.0  0.000698      0.0  0.000377   0.000686  0.000111
t255      0.0  0.001767     0.0  0.000698      0.0  0.000376   0.000686  0.000111
t256      0.0  0.001760     0.0  0.000698      0.0  0.000375   0.000686  0.000111
t257      0.0  0.001752     0.0  0.000698      0.0  0.000374   0.000686  0.000111
t258      0.0  0.001745     0.0  0.000699      0.0  0.000373   0.000686  0.000111
t259      0.0  0.001737     0.0  0.000699      0.0  0.000372   0.000687  0.000111
t260      0.0  0.001729     0.0  0.000699      0.0  0.000371   0.000687  0.000111
t261      0.0  0.001722     0.0  0.000699      0.0  0.000370   0.000687  0.000111
t262      0.0  0.001714     0.0  0.000700      0.0  0.000369   0.000687  0.000111
t263      0.0  0.001707     0.0  0.000700      0.0  0.000368   0.000687  0.000111
t264      0.0  0.001699     0.0  0.000700      0.0  0.000366   0.000688  0.000111
t265      0.0  0.001692     0.0  0.000700      0.0  0.000365   0.000688  0.000111
t266      0.0  0.001684     0.0  0.000701      0.0  0.000364   0.000688  0.000111
t267      0.0  0.001677     0.0  0.000701      0.0  0.000363   0.000688  0.000111
t268      0.0  0.001669     0.0  0.000701      0.0  0.000362   0.000688  0.000111
t269      0.0  0.001662     0.0  0.000701      0.0  0.000361   0.000688  0.000111
t270      0.0  0.001654     0.0  0.000702      0.0  0.000360   0.000689  0.000111
t271      0.0  0.001647     0.0  0.000702      0.0  0.000359   0.000689  0.000111
t272      0.0  0.001639     0.0  0.000702      0.0  0.000358   0.000689  0.000111
t273      0.0  0.001632     0.0  0.000702      0.0  0.000357   0.000689  0.000111
t274      0.0  0.001624     0.0  0.000703      0.0  0.000356   0.000689  0.000111
t275      0.0  0.001617     0.0  0.000703      0.0  0.000355   0.000689  0.000111
t276      0.0  0.001609     0.0  0.000703      0.0  0.000354   0.000690  0.000111
t277      0.0  0.001602     0.0  0.000703      0.0  0.000353   0.000690  0.000111
t278      0.0  0.001595     0.0  0.000703      0.0  0.000352   0.000690  0.000111
t279      0.0  0.001587     0.0  0.000704      0.0  0.000351   0.000690  0.000111
t280      0.0  0.001580     0.0  0.000704      0.0  0.000350   0.000690  0.000111
t281      0.0  0.001573     0.0  0.000704      0.0  0.000349   0.000690  0.000111
t282      0.0  0.001565     0.0  0.000704      0.0  0.000348   0.000690  0.000111
t283      0.0  0.001558     0.0  0.000704      0.0  0.000347   0.000691  0.000111
t284      0.0  0.001551     0.0  0.000705      0.0  0.000346   0.000691  0.000111
t285      0.0  0.001544     0.0  0.000705      0.0  0.000345   0.000691  0.000111
t286      0.0  0.001536     0.0  0.000705      0.0  0.000345   0.000691  0.000111
t287      0.0  0.001529     0.0  0.000705      0.0  0.000344   0.000691  0.000111
t288      0.0  0.001522     0.0  0.000705      0.0  0.000343   0.000691  0.000111
t289      0.0  0.001515     0.0  0.000705      0.0  0.000342   0.000691  0.000111
t290      0.0  0.001508     0.0  0.000706      0.0  0.000341   0.000691  0.000111
t291      0.0  0.001501     0.0  0.000706      0.0  0.000340   0.000692  0.000111
t292      0.0  0.001494     0.0  0.000706      0.0  0.000339   0.000692  0.000111
t293      0.0  0.001487     0.0  0.000706      0.0  0.000338   0.000692  0.000111
t294      0.0  0.001480     0.0  0.000706      0.0  0.000337   0.000692  0.000111
t295      0.0  0.001473     0.0  0.000706      0.0  0.000336   0.000692  0.000111
t296      0.0  0.001466     0.0  0.000707      0.0  0.000335   0.000692  0.000111
t297      0.0  0.001459     0.0  0.000707      0.0  0.000335   0.000692  0.000111
t298      0.0  0.001452     0.0  0.000707      0.0  0.000334   0.000692  0.000111
t299      0.0  0.001445     0.0  0.000707      0.0  0.000333   0.000692  0.000111
t300      0.0  0.001439     0.0  0.000707      0.0  0.000332   0.000692  0.000111
t301      0.0  0.001432     0.0  0.000707      0.0  0.000331   0.000693  0.000111
t302      0.0  0.001425     0.0  0.000708      0.0  0.000330   0.000693  0.000111
t303      0.0  0.001418     0.0  0.000708      0.0  0.000329   0.000693  0.000111
t304      0.0  0.001412     0.0  0.000708      0.0  0.000329   0.000693  0.000111
t305      0.0  0.001405     0.0  0.000708      0.0  0.000328   0.000693  0.000111
t306      0.0  0.001399     0.0  0.000708      0.0  0.000327   0.000693  0.000111
t307      0.0  0.001392     0.0  0.000708      0.0  0.000326   0.000693  0.000111
t308      0.0  0.001385     0.0  0.000708      0.0  0.000325   0.000693  0.000111
t309      0.0  0.001379     0.0  0.000709      0.0  0.000324   0.000693  0.000111
t310      0.0  0.001373     0.0  0.000709      0.0  0.000324   0.000693  0.000111
t311      0.0  0.001366     0.0  0.000709      0.0  0.000323   0.000693  0.000111
t312      0.0  0.001360     0.0  0.000709      0.0  0.000322   0.000693  0.000111
t313      0.0  0.001354     0.0  0.000709      0.0  0.000321   0.000694  0.000111
t314      0.0  0.001347     0.0  0.000709      0.0  0.000320   0.000694  0.000111
t315      0.0  0.001341     0.0  0.000709      0.0  0.000319   0.000694  0.000111
t316      0.0  0.001335     0.0  0.000709      0.0  0.000319   0.000694  0.000111
t317      0.0  0.001329     0.0  0.000709      0.0  0.000318   0.000694  0.000111
t318      0.0  0.001323     0.0  0.000710      0.0  0.000317   0.000694  0.000111
t319      0.0  0.001316     0.0  0.000710      0.0  0.000316   0.000694  0.000111
t320      0.0  0.001310     0.0  0.000710      0.0  0.000316   0.000694  0.000111
t321      0.0  0.001304     0.0  0.000710      0.0  0.000315   0.000694  0.000111
t322      0.0  0.001298     0.0  0.000710      0.0  0.000314   0.000694  0.000111
t323      0.0  0.001293     0.0  0.000710      0.0  0.000313   0.000694  0.000111
t324      0.0  0.001287     0.0  0.000710      0.0  0.000313   0.000694  0.000111
t325      0.0  0.001281     0.0  0.000710      0.0  0.000312   0.000694  0.000111
t326      0.0  0.001275     0.0  0.000710      0.0  0.000311   0.000694  0.000111
t327      0.0  0.001269     0.0  0.000710      0.0  0.000310   0.000694  0.000111
t328      0.0  0.001264     0.0  0.000711      0.0  0.000310   0.000694  0.000111
t329      0.0  0.001258     0.0  0.000711      0.0  0.000309   0.000694  0.000111
t330      0.0  0.001252     0.0  0.000711      0.0  0.000308   0.000694  0.000111
t331      0.0  0.001247     0.0  0.000711      0.0  0.000307   0.000694  0.000111
t332      0.0  0.001241     0.0  0.000711      0.0  0.000307   0.000694  0.000111
t333      0.0  0.001236     0.0  0.000711      0.0  0.000306   0.000694  0.000111
t334      0.0  0.001230     0.0  0.000711      0.0  0.000305   0.000694  0.000111
t335      0.0  0.001225     0.0  0.000711      0.0  0.000305   0.000695  0.000111
t336      0.0  0.001220     0.0  0.000711      0.0  0.000304   0.000695  0.000111
t337      0.0  0.001214     0.0  0.000711      0.0  0.000303   0.000695  0.000111
t338      0.0  0.001209     0.0  0.000711      0.0  0.000302   0.000695  0.000111
