            h_S  h_OH  h_OHan      h_NO      h_NH  h_OA     h_SBH
t           NaN   NaN     NaN       NaN       NaN   NaN       NaN
t179   0.555657   0.0     1.0  0.963526  0.959044   0.0  0.978932
t180   0.553930   0.0     1.0  0.963442  0.959080   0.0  0.978917
t181   0.552197   0.0     1.0  0.963358  0.959115   0.0  0.978901
t182   0.550458   0.0     1.0  0.963274  0.959150   0.0  0.978886
t183   0.548713   0.0     1.0  0.963189  0.959185   0.0  0.978871
t184   0.546963   0.0     1.0  0.963105  0.959220   0.0  0.978855
t185   0.545206   0.0     1.0  0.963021  0.959254   0.0  0.978840
t186   0.543444   0.0     1.0  0.962936  0.959288   0.0  0.978825
t187   0.541676   0.0     1.0  0.962851  0.959322   0.0  0.978810
t188   0.539903   0.0     1.0  0.962767  0.959356   0.0  0.978795
t189   0.538124   0.0     1.0  0.962682  0.959389   0.0  0.978780
t190   0.536339   0.0     1.0  0.962597  0.959422   0.0  0.978766
t191   0.534549   0.0     1.0  0.962512  0.959455   0.0  0.978751
t192   0.532754   0.0     1.0  0.962427  0.959488   0.0  0.978736
t193   0.530953   0.0     1.0  0.962342  0.959521   0.0  0.978722
t194   0.529148   0.0     1.0  0.962257  0.959553   0.0  0.978707
t195   0.527337   0.0     1.0  0.962172  0.959585   0.0  0.978693
t196   0.525521   0.0     1.0  0.962087  0.959617   0.0  0.978679
t197   0.523700   0.0     1.0  0.962002  0.959649   0.0  0.978664
t198   0.521874   0.0     1.0  0.961917  0.959680   0.0  0.978650
t199   0.520044   0.0     1.0  0.961832  0.959711   0.0  0.978636
t200   0.518209   0.0     1.0  0.961746  0.959742   0.0  0.978622
t201   0.516369   0.0     1.0  0.961661  0.959773   0.0  0.978608
t202   0.514525   0.0     1.0  0.961576  0.959804   0.0  0.978595
t203   0.512677   0.0     1.0  0.961491  0.959834   0.0  0.978581
t204   0.510824   0.0     1.0  0.961405  0.959864   0.0  0.978567
t205   0.508967   0.0     1.0  0.961320  0.959894   0.0  0.978554
t206   0.507105   0.0     1.0  0.961235  0.959924   0.0  0.978540
t207   0.505240   0.0     1.0  0.961149  0.959954   0.0  0.978527
t208   0.503371   0.0     1.0  0.961064  0.959984   0.0  0.978514
t209   0.501498   0.0     1.0  0.960979  0.960013   0.0  0.978501
t210   0.499622   0.0     1.0  0.960894  0.960042   0.0  0.978487
t211   0.497742   0.0     1.0  0.960808  0.960071   0.0  0.978474
t212   0.495858   0.0     1.0  0.960723  0.960100   0.0  0.978461
t213   0.493971   0.0     1.0  0.960638  0.960128   0.0  0.978449
t214   0.492081   0.0     1.0  0.960553  0.960157   0.0  0.978436
t215   0.490188   0.0     1.0  0.960468  0.960185   0.0  0.978423
t216   0.488291   0.0     1.0  0.960383  0.960213   0.0  0.978411
t217   0.486392   0.0     1.0  0.960298  0.960241   0.0  0.978398
t218   0.484490   0.0     1.0  0.960213  0.960268   0.0  0.978386
t219   0.482586   0.0     1.0  0.960128  0.960296   0.0  0.978373
t220   0.480679   0.0     1.0  0.960043  0.960323   0.0  0.978361
