           S_ALK        S_I       S_ND       S_NH      S_NO       S_O        S_S      X_BA        X_BH        X_I       X_ND        X_P        X_S
t107    5.972203  38.353643   7.208436  10.207031  4.741734  1.853203  37.019184  1.988449  107.805320  38.354412  15.485756   0.352448  65.641901
t108    5.971637  38.339492   7.189185  10.225901  4.739694  1.853353  36.803668  1.988376  107.899258  38.340655  15.461264   0.355671  65.559108
t109    5.971067  38.325362   7.170052  10.244680  4.737662  1.853504  36.588951  1.988310  107.993190  38.327073  15.436869   0.358892  65.476677
t110    5.970493  38.311254   7.151037  10.263368  4.735639  1.853657  36.375036  1.988254  108.087186  38.313695  15.412584   0.362114  65.394662
t111    5.969916  38.297167   7.132139  10.281968  4.733624  1.853811  36.161923  1.988211  108.181418  38.300586  15.388438   0.365334  65.313188
t112    5.969334  38.283102   7.113357  10.300479  4.731618  1.853963  35.949612  1.988221  108.277981  38.288568  15.364800   0.368559  65.233791
t113    5.968749  38.269058   7.094689  10.318903  4.729621  1.854112  35.738097  1.988302  108.377816  38.278007  15.341833   0.371789  65.157154
t114    5.968160  38.255036   7.076134  10.337243  4.727632  1.854257  35.527373  1.988472  108.481758  38.269227  15.319683   0.375026  65.083883
t115    5.967568  38.241035   7.057692  10.355500  4.725652  1.854398  35.317433  1.988741  108.590433  38.262471  15.298455   0.378273  65.014426
t116    5.966973  38.227056   7.039359  10.373675  4.723681  1.854532  35.108269  1.989118  108.704199  38.257873  15.278210   0.381529  64.949035
t117    5.966374  38.213098   7.021135  10.391771  4.721718  1.854662  34.899873  1.989602  108.823136  38.255462  15.258959   0.384796  64.887757
t118    5.965773  38.199161   7.003019  10.409790  4.719765  1.854786  34.692238  1.990192  108.947074  38.255166  15.240668   0.388074  64.830458
t119    5.965168  38.185246   6.985008  10.427734  4.717820  1.854906  34.485357  1.990878  109.075653  38.256841  15.223272   0.391361  64.776863
t120    5.964561  38.171352   6.967102  10.445603  4.715884  1.855022  34.279226  1.991653  109.208387  38.260295  15.206683   0.394659  64.726609
t121    5.963950  38.157479   6.949300  10.463400  4.713958  1.855135  34.073841  1.992505  109.344728  38.265309  15.190803   0.397965  64.679287
t122    5.963338  38.143627   6.931601  10.481126  4.712040  1.855246  33.869198  1.993423  109.484119  38.271665  15.175531   0.401279  64.634484
t123    5.962722  38.129797   6.914003  10.498782  4.710131  1.855355  33.665297  1.994397  109.626024  38.279152  15.160774   0.404599  64.591804
t124    5.962104  38.115987   6.896506  10.516369  4.708232  1.855464  33.462136  1.995417  109.769957  38.287578  15.146445   0.407926  64.550886
t125    5.961484  38.102199   6.879110  10.533888  4.706342  1.855572  33.259717  1.996475  109.915485  38.296774  15.132467   0.411258  64.511415
t126    5.960861  38.088432   6.861812  10.551340  4.704461  1.855680  33.058039  1.997564  110.062238  38.306596  15.118775   0.414595  64.473117
t127    5.960236  38.074685   6.844614  10.568727  4.702590  1.855789  32.857106  1.998677  110.209902  38.316921  15.105315   0.417936  64.435763
t128    5.959609  38.060960   6.827513  10.586047  4.700728  1.855899  32.656920  1.999810  110.358218  38.327648  15.092040   0.421280  64.399163
t129    5.958979  38.047256   6.810511  10.603303  4.698875  1.856010  32.457483  2.000958  110.506972  38.338694  15.078914   0.424627  64.363162
t130    5.958348  38.033573   6.793605  10.620496  4.697032  1.856123  32.258798  2.002118  110.655988  38.349992  15.065905   0.427978  64.327632
t131    5.957714  38.019910   6.776796  10.637624  4.695198  1.856237  32.060870  2.003288  110.805126  38.361486  15.052991   0.431331  64.292472
t132    5.957078  38.006269   6.760083  10.654690  4.693375  1.856354  31.863702  2.004465  110.954270  38.373134  15.040150   0.434686  64.257600
t133    5.956440  37.992648   6.743466  10.671694  4.691560  1.856472  31.667297  2.005647  111.103330  38.384900  15.027367   0.438043  64.222950
t134    5.955799  37.979048   6.726944  10.688635  4.689756  1.856593  31.471660  2.006834  111.252233  38.396756  15.014631   0.441403  64.188472
t135    5.955157  37.965469   6.710517  10.705516  4.687961  1.856715  31.276795  2.008023  111.400918  38.408681  15.001930   0.444764  64.154123
t136    5.954513  37.951911   6.694184  10.722336  4.686176  1.856840  31.082706  2.009215  111.549339  38.420657  14.989258   0.448127  64.119872
t137    5.953866  37.938373   6.677945  10.739096  4.684402  1.856967  30.889397  2.010408  111.697458  38.432671  14.976609   0.451492  64.085692
t138    5.953218  37.924856   6.661799  10.755797  4.682637  1.857096  30.696873  2.011602  111.845244  38.444711  14.963976   0.454859  64.051564
t139    5.952568  37.911360   6.645747  10.772438  4.680882  1.857228  30.505137  2.012796  111.992672  38.456769  14.951358   0.458227  64.017472
