              S_ALK           S_I         S_ND          S_NH         S_NO       S_O           S_S        X_BA         X_BH          X_I         X_ND          X_P          X_S
t93      443.595269   2840.467693   584.435743    657.808711   234.927874  0.052355   3818.978648   127.35483  6461.570462  2130.347572   959.398046     8.496726  3990.062972
t94      448.534559   2870.984423   589.442971    666.081442   236.228374  0.052949   3852.443248  128.718505  6534.338796  2153.233546   969.547384     8.684387   4032.88463
t95      453.476969   2901.500338   594.426672    674.376369   237.505739  0.053544   3885.760137  130.082017  6607.166232  2176.118167   979.692863     8.874152  4075.703457
t96      458.422482   2932.015432   599.386948    682.693404   238.760101   0.05414   3918.929994  131.445338  6680.050936   2199.00096   989.834281      9.06602  4118.518608
t97       463.37108   2962.529696   604.323899    691.032462   239.991593  0.054737   3951.953509  132.808423  6752.990217  2221.881173   999.971309     9.259991  4161.328721
t98      468.322747   2993.043122   609.237624    699.393454   241.200352  0.055334   3984.831388   134.17121  6825.980383  2244.757729  1010.103472      9.45606  4204.131826
t99      473.277466   3023.555703   614.128222    707.776296   242.386517  0.055933   4017.564352  135.533612  6899.016662  2267.629199  1020.230138     9.654224  4246.925297
t100     478.235219   3054.067432   618.995791    716.180902    243.55023  0.056533   4050.153134  136.895523  6972.093181  2290.493799  1030.350517     9.854475  4289.705841
t101     483.195989   3084.578299   623.840427     724.60719   244.691634  0.057133   4082.598482  138.256818  7045.203002  2313.349399  1040.463662    10.056806  4332.469523
t102     488.159758   3115.088298   628.662228    733.055075   245.810877  0.057735   4114.901163  139.617349  7118.338214  2336.193556  1050.568488    10.261206  4375.211823
t103     493.126508   3145.597421   633.461288    741.524477   246.908107  0.058337   4147.061954  140.976494  7191.466527  2359.015837  1060.660319    10.467629  4417.913259
t104     498.096223   3176.105661   638.237703    750.015313   247.983475  0.058941    4179.08165  142.333258  7264.536566  2381.799571  1070.731675    10.676001  4460.542668
t105     503.068884   3206.613008   642.991566    758.527504   249.037138  0.059545   4210.961064    143.6864   7337.48439  2404.523996  1080.773244    10.886226  4503.061229
t106     508.044472   3237.119457   647.722971    767.060971   250.069252  0.060151   4242.701023  145.034493  7410.236436  2427.165232  1090.774315     11.09819  4545.424284
t107     513.022971      3267.625    652.43201    775.615635   251.079976  0.060758   4274.302369  146.376005  7482.713517  2449.697596  1100.723374    11.311769  4587.583805
t108     518.004361   3298.129628   657.118774    784.191419   252.069476  0.061366   4305.765965  147.709378  7554.835154  2472.095023  1110.608743    11.526832  4629.491049
t109     522.988625   3328.633334   661.783354    792.788246   253.037915  0.061975   4337.092689   149.03311  7626.523523  2494.332359  1120.419156    11.743252  4671.098979
t110     527.975743   3359.136111    666.42584    801.406042   253.985464  0.062585   4368.283436  150.343681  7697.597315  2516.350657  1130.128179    11.960735  4712.297285
t111     532.965697   3389.637951    671.04632    810.044732   254.912295  0.063196    4399.33912  151.598159  7765.856064  2537.431319  1139.413178    12.175813  4751.740355
t112     537.958468   3420.138846   675.644882    818.704242   255.818583  0.063808   4430.260673  152.777299  7830.309864   2557.25214  1148.129645    12.386843  4788.824912
t113     542.954038    3450.63879   680.221615    827.384499   256.704506  0.064422   4461.049046   153.86406  7890.080331  2575.527788  1156.149692    12.592317  4823.016742
t114     547.952386   3481.137775   684.776603    836.085434   257.570247  0.065036   4491.705208  154.845674  7944.506882  2592.044405  1163.377575    12.791039  4853.915485
t115     552.953494   3511.635792   689.309931    844.806975    258.41599  0.065652   4522.230147  155.714862  7993.209818  2606.680043  1169.758842    12.982243    4881.2929
t116     557.957342   3542.132835   693.821686    853.549053   259.241924  0.066269   4552.624873   156.47006  8036.102234  2619.408373   1175.28197    13.165624  4905.099804
t117      562.96391   3572.628897   698.311948      862.3116   260.048241  0.066888   4582.890412  157.114777  8073.357811  2630.288007  1179.973548    13.341303  4925.446074
t118     567.973179   3603.123969   702.780802    871.094549   260.835136  0.067507   4613.027813  157.656416  8105.350733  2639.442771  1183.889408    13.509744  4942.563705
t119     572.985128   3633.618045   707.228328    879.897834   261.602808  0.068128   4643.038144   158.10491  8132.585738  2647.038817  1187.104336     13.67164  4956.763942
t120     577.999738   3664.111117   711.654607     888.72139   262.351461   0.06875   4672.922494  158.471436  8155.632532    2653.2632  1189.702459    13.827821  4968.397173
t121     583.016988   3694.603178   716.059718    897.565152   263.081299  0.069373   4702.681974  158.767391  8175.072865  2658.306636  1191.769505    13.979155  4977.820629
t122     588.036857    3725.09422    720.44374    906.429059   263.792534  0.069998   4732.317714  159.003661  8191.463022  2662.351293  1193.387332    14.126494  4985.375538
t123     593.059325   3755.584236   724.806749    915.313049   264.485378  0.070624   4761.830868  159.190172  8205.310796  2665.563336  1194.630587    14.270628  4991.373151
t124     598.084371    3786.07322   729.148824    924.217061    265.16005  0.071251   4791.222609  159.335678  8217.064111  2668.089255  1195.565064    14.412263  4996.087878
t125     603.111974   3816.561162   733.470037    933.141035    265.81677   0.07188   4820.494135  159.447698   8227.10799   2670.05492   1196.24729    14.552012  4999.755516
t126     608.142112   3847.048057   737.770465    942.084914   266.455764  0.072509   4849.646662  159.532567  8235.766886  2671.566377  1196.724886    14.690399  5002.574741
t127     613.174764   3877.533897   742.050181    951.048641    267.07726   0.07314   4878.681432  159.595542  8243.310045  2672.711625  1197.037362     14.82786  5004.710429
t128     618.209908   3908.018675   746.309255    960.032159   267.681493  0.073773   4907.599707  159.640935  8249.958235  2673.562826  1197.217125    14.964757   5006.29781
t129     623.247523   3938.502383   750.547761    969.035414   268.268697  0.074407   4936.402773  159.672248  8255.890781  2674.178619  1197.290506    15.101385  5007.446787
t130     628.287586   3968.985015   754.765767    978.058351   268.839116  0.075042   4965.091936  159.692307  8261.252262   2674.60631  1197.278754    15.237982  5008.246048
t131     633.330075   3999.466563   758.963344    987.100919   269.392992  0.075678   4993.668526   159.70338  8266.158558  2674.883855  1197.198921    15.374741  5008.766767
t132     638.374967    4029.94702   763.140558    996.163067   269.930576  0.076316   5022.133896  159.707278  8270.702099   2675.04157  1197.064633    15.511815  5009.065822
t133     643.422241   4060.426379   767.297477   1005.244742   270.452119  0.076955   5050.489419  159.705443  8274.956327  2675.103591  1196.886744    15.649326  5009.188516
t134     648.471872   4090.904633   771.434168   1014.345897   270.957878  0.077596   5078.736493   159.69902    8278.9794  2675.089084  1196.673882    15.787369  5009.170849
t135     653.523838   4121.381774   775.550694   1023.466484   271.448113  0.078238   5106.876535  159.688917  8282.817244  2675.013239  1196.432888     15.92602  5009.041374
t136     658.578116   4151.857796    779.64712   1032.606454    271.92309  0.078881   5134.910985  159.675851  8286.506032  2674.888074  1196.169188    16.065337  5008.822715
t137     663.634682   4182.332692   783.723509   1041.765762   272.383075  0.079526   5162.841303  159.660391  8290.074182  2674.723093  1195.887075    16.205365  5008.532783
t138     668.693512   4212.806454   787.779922   1050.944363   272.828341  0.080172   5190.668973  159.642986  8293.543967  2674.525804  1195.589952    16.346139  5008.185754
t139     673.754583   4243.279075   791.816422   1060.142213   273.259162   0.08082   5218.395494   159.62399  8296.932793  2674.302137  1195.280515    16.487683  5007.792856
t140     678.817871   4273.750549   795.833068   1069.359269   273.675817  0.081469   5246.022388  159.603684  8300.254222  2674.056777  1194.960902    16.630018  5007.362981
t141     683.883351   4304.220869   799.829919   1078.595488   274.078589  0.082119   5273.551195  159.582289  8303.518784  2673.793426   1194.63281    16.773157  5006.903187
t142        688.951   4334.690026   803.807033    1087.85083   274.467762  0.082771   5300.983473   159.55998  8306.734613  2673.515012  1194.297591    16.917108  5006.419081
t143     694.020792   4365.158016   807.764469   1097.125252   274.843624  0.083424   5328.320797  159.536896  8309.907961  2673.223852  1193.956324    17.061878  5005.915131
t144     699.092703   4395.624829   811.702282   1106.418717   275.206468  0.084079   5355.564758  159.513149  8313.043598  2672.921785  1193.609873     17.20747  5005.394906
t145     704.166708   4426.090461    815.62053   1115.731185   275.556586  0.084735   5382.716962  159.488824  8316.145124  2672.610272  1193.258934    17.353885  5004.861274
t146     709.242783   4456.554903   819.519267   1125.062616   275.894276  0.085392   5409.779028  159.463993  8319.215222  2672.290477  1192.904069    17.501123  5004.316543
t147     714.320901   4487.018149   823.398548   1134.412975   276.219834  0.086051   5436.752589  159.438711  8322.255857  2671.963331  1192.545738    17.649181   5003.76259
t148     719.401039   4517.480191   827.258426   1143.782222   276.533563  0.086712   5463.639286  159.413024  8325.268426  2671.629582  1192.184317    17.798056  5003.200945
t149     724.483171   4547.941024   831.098957   1153.170323   276.835764  0.087373   5490.440773  159.386968  8328.253884  2671.289834  1191.820118    17.947745  5002.632874
t150     729.567272    4578.40064   834.920193   1162.577239    277.12674  0.088036   5517.158708  159.360572  8331.212839  2670.944578  1191.453404    18.098242  5002.059427
t151     734.653316   4608.859032   838.722186   1172.002935   277.406796  0.088701   5543.794757  159.333862  8334.145628  2670.594216  1191.084397    18.249544  5001.481491
t152     739.741277   4639.316194   842.504989   1181.447375   277.676238  0.089367   5570.350589  159.306858  8337.052378   2670.23908  1190.713287    18.401645   5000.89982
t153     744.831132   4669.772119   846.268655   1190.910524   277.935371  0.090034   5596.827875  159.279576  8339.933053  2669.879449   1190.34024    18.554539  5000.315065
t154     749.922853   4700.226799   850.013235   1200.392345   278.184501  0.090703   5623.228286  159.252032  8342.787492  2669.515556  1189.965404     18.70822  4999.727799
t155     755.016417   4730.680229   853.738782   1209.892802   278.423933  0.091373   5649.553492  159.224237  8345.615438  2669.147604  1189.588909    18.862682  4999.138527
