          H_grow  Han_grow    A_grow   decay_H   decay_A   Ammonia  hydro_org   hydro_N
t            NaN       NaN       NaN       NaN       NaN       NaN        NaN       NaN
t173    0.002646  0.000239  0.000016  0.000676  0.000003  0.000665   0.001806  0.000417
t174    0.002641  0.000238  0.000016  0.000676  0.000003  0.000665   0.001807  0.000418
t175    0.002636  0.000238  0.000016  0.000677  0.000003  0.000664   0.001809  0.000418
t176    0.002631  0.000237  0.000016  0.000678  0.000003  0.000663   0.001811  0.000418
t177    0.002626  0.000237  0.000016  0.000679  0.000003  0.000663   0.001813  0.000418
t178    0.002621  0.000236  0.000016  0.000679  0.000003  0.000662   0.001815  0.000419
t179    0.002616  0.000236  0.000016  0.000680  0.000003  0.000661   0.001817  0.000419
t180    0.002611  0.000236  0.000016  0.000681  0.000003  0.000661   0.001819  0.000419
t181    0.002605  0.000235  0.000016  0.000681  0.000003  0.000660   0.001821  0.000420
t182    0.002600  0.000235  0.000016  0.000682  0.000003  0.000659   0.001822  0.000420
t183    0.002595  0.000234  0.000016  0.000683  0.000003  0.000659   0.001824  0.000420
t184    0.002590  0.000234  0.000016  0.000684  0.000003  0.000658   0.001826  0.000421
t185    0.002584  0.000233  0.000016  0.000684  0.000003  0.000657   0.001828  0.000421
t186    0.002579  0.000233  0.000016  0.000685  0.000003  0.000657   0.001830  0.000421
t187    0.002574  0.000232  0.000016  0.000686  0.000003  0.000656   0.001831  0.000421
t188    0.002568  0.000232  0.000016  0.000687  0.000003  0.000655   0.001833  0.000422
t189    0.002563  0.000231  0.000016  0.000687  0.000003  0.000655   0.001835  0.000422
t190    0.002557  0.000231  0.000016  0.000688  0.000003  0.000654   0.001837  0.000422
t191    0.002552  0.000230  0.000016  0.000689  0.000003  0.000654   0.001839  0.000423
t192    0.002546  0.000230  0.000016  0.000689  0.000003  0.000653   0.001840  0.000423
t193    0.002540  0.000229  0.000016  0.000690  0.000003  0.000652   0.001842  0.000423
t194    0.002535  0.000229  0.000016  0.000691  0.000003  0.000652   0.001844  0.000423
t195    0.002529  0.000228  0.000016  0.000691  0.000003  0.000651   0.001846  0.000424
t196    0.002524  0.000228  0.000016  0.000692  0.000003  0.000650   0.001847  0.000424
t197    0.002518  0.000227  0.000016  0.000693  0.000003  0.000650   0.001849  0.000424
t198    0.002512  0.000227  0.000016  0.000693  0.000003  0.000649   0.001851  0.000424
t199    0.002506  0.000226  0.000016  0.000694  0.000003  0.000649   0.001852  0.000425
t200    0.002501  0.000226  0.000016  0.000695  0.000003  0.000648   0.001854  0.000425
t201    0.002495  0.000225  0.000016  0.000695  0.000003  0.000647   0.001856  0.000425
t202    0.002489  0.000224  0.000016  0.000696  0.000003  0.000647   0.001857  0.000425
t203    0.002483  0.000224  0.000016  0.000697  0.000003  0.000646   0.001859  0.000426
t204    0.002477  0.000223  0.000016  0.000697  0.000003  0.000646   0.001861  0.000426
t205    0.002471  0.000223  0.000016  0.000698  0.000003  0.000645   0.001862  0.000426
t206    0.002465  0.000222  0.000016  0.000699  0.000003  0.000644   0.001864  0.000426
t207    0.002459  0.000222  0.000016  0.000699  0.000003  0.000644   0.001866  0.000427
t208    0.002454  0.000221  0.000016  0.000700  0.000003  0.000643   0.001867  0.000427
t209    0.002448  0.000221  0.000016  0.000701  0.000003  0.000643   0.001869  0.000427
t210    0.002442  0.000220  0.000016  0.000701  0.000003  0.000642   0.001870  0.000427
t211    0.002436  0.000220  0.000016  0.000702  0.000003  0.000641   0.001872  0.000428
t212    0.002430  0.000219  0.000016  0.000703  0.000003  0.000641   0.001874  0.000428
t213    0.002424  0.000219  0.000016  0.000703  0.000003  0.000640   0.001875  0.000428
t214    0.002417  0.000218  0.000016  0.000704  0.000003  0.000640   0.001877  0.000428
t215    0.002411  0.000217  0.000016  0.000704  0.000003  0.000639   0.001878  0.000428
t216    0.002405  0.000217  0.000016  0.000705  0.000003  0.000639   0.001880  0.000429
t217    0.002399  0.000216  0.000016  0.000706  0.000003  0.000638   0.001881  0.000429
t218    0.002393  0.000216  0.000016  0.000706  0.000003  0.000637   0.001883  0.000429
t219    0.002387  0.000215  0.000016  0.000707  0.000003  0.000637   0.001884  0.000429
t220    0.002381  0.000215  0.000016  0.000708  0.000003  0.000636   0.001886  0.000429
t221    0.002375  0.000214  0.000016  0.000708  0.000003  0.000636   0.001887  0.000430
t222    0.002369  0.000214  0.000016  0.000709  0.000003  0.000635   0.001889  0.000430
t223    0.002363  0.000213  0.000016  0.000709  0.000003  0.000635   0.001890  0.000430
t224    0.002356  0.000212  0.000016  0.000710  0.000003  0.000634   0.001892  0.000430
t225    0.002350  0.000212  0.000016  0.000711  0.000003  0.000633   0.001893  0.000430
t226    0.002344  0.000211  0.000016  0.000711  0.000003  0.000633   0.001895  0.000431
t227    0.002338  0.000211  0.000016  0.000712  0.000003  0.000632   0.001896  0.000431
t228    0.002332  0.000210  0.000016  0.000712  0.000003  0.000632   0.001898  0.000431
t229    0.002326  0.000210  0.000016  0.000713  0.000003  0.000631   0.001899  0.000431
t230    0.002320  0.000209  0.000016  0.000713  0.000003  0.000631   0.001901  0.000431
t231    0.002313  0.000209  0.000016  0.000714  0.000003  0.000630   0.001902  0.000432
t232    0.002307  0.000208  0.000016  0.000715  0.000003  0.000630   0.001903  0.000432
t233    0.002301  0.000207  0.000016  0.000715  0.000003  0.000629   0.001905  0.000432
t234    0.002295  0.000207  0.000016  0.000716  0.000003  0.000629   0.001906  0.000432
t235    0.002289  0.000206  0.000016  0.000716  0.000003  0.000628   0.001907  0.000432
t236    0.002283  0.000206  0.000016  0.000717  0.000003  0.000627   0.001909  0.000433
t237    0.002277  0.000205  0.000016  0.000717  0.000003  0.000627   0.001910  0.000433
t238    0.002271  0.000205  0.000016  0.000718  0.000003  0.000626   0.001912  0.000433
t239    0.002264  0.000204  0.000016  0.000718  0.000003  0.000626   0.001913  0.000433
t240    0.002258  0.000204  0.000016  0.000719  0.000003  0.000625   0.001914  0.000433
t241    0.002252  0.000203  0.000016  0.000719  0.000003  0.000625   0.001916  0.000433
t242    0.002246  0.000202  0.000016  0.000720  0.000003  0.000624   0.001917  0.000434
t243    0.002240  0.000202  0.000016  0.000721  0.000003  0.000624   0.001918  0.000434
t244    0.002234  0.000201  0.000016  0.000721  0.000003  0.000623   0.001919  0.000434
t245    0.002228  0.000201  0.000016  0.000722  0.000003  0.000623   0.001921  0.000434
t246    0.002222  0.000200  0.000016  0.000722  0.000003  0.000622   0.001922  0.000434
t247    0.002216  0.000200  0.000016  0.000723  0.000003  0.000622   0.001923  0.000434
t248    0.002210  0.000199  0.000016  0.000723  0.000003  0.000621   0.001925  0.000434
t249    0.002204  0.000199  0.000016  0.000724  0.000003  0.000621   0.001926  0.000435
t250    0.002198  0.000198  0.000016  0.000724  0.000003  0.000620   0.001927  0.000435
t251    0.002192  0.000198  0.000016  0.000725  0.000003  0.000620   0.001928  0.000435
t252    0.002186  0.000197  0.000016  0.000725  0.000003  0.000619   0.001930  0.000435
t253    0.002180  0.000196  0.000016  0.000726  0.000003  0.000619   0.001931  0.000435
t254    0.002174  0.000196  0.000016  0.000726  0.000003  0.000618   0.001932  0.000435
t255    0.002169  0.000195  0.000016  0.000727  0.000003  0.000618   0.001933  0.000435
t256    0.002163  0.000195  0.000016  0.000727  0.000003  0.000617   0.001934  0.000436
t257    0.002157  0.000194  0.000016  0.000728  0.000003  0.000617   0.001936  0.000436
t258    0.002151  0.000194  0.000016  0.000728  0.000003  0.000616   0.001937  0.000436
t259    0.002145  0.000193  0.000017  0.000729  0.000003  0.000616   0.001938  0.000436
t260    0.002140  0.000193  0.000017  0.000729  0.000003  0.000615   0.001939  0.000436
t261    0.002134  0.000192  0.000017  0.000730  0.000003  0.000615   0.001940  0.000436
t262    0.002128  0.000192  0.000017  0.000730  0.000003  0.000614   0.001941  0.000436
t263    0.002122  0.000191  0.000017  0.000730  0.000003  0.000614   0.001943  0.000436
t264    0.002117  0.000191  0.000017  0.000731  0.000003  0.000613   0.001944  0.000437
t265    0.002111  0.000190  0.000017  0.000731  0.000003  0.000613   0.001945  0.000437
t266    0.002106  0.000190  0.000017  0.000732  0.000003  0.000612   0.001946  0.000437
t267    0.002100  0.000189  0.000017  0.000732  0.000003  0.000612   0.001947  0.000437
t268    0.002094  0.000189  0.000017  0.000733  0.000003  0.000611   0.001948  0.000437
t269    0.002089  0.000188  0.000017  0.000733  0.000003  0.000611   0.001949  0.000437
t270    0.002083  0.000188  0.000017  0.000734  0.000003  0.000610   0.001950  0.000437
t271    0.002078  0.000187  0.000017  0.000734  0.000003  0.000610   0.001951  0.000437
t272    0.002073  0.000187  0.000017  0.000734  0.000003  0.000610   0.001952  0.000437
t273    0.002067  0.000186  0.000017  0.000735  0.000003  0.000609   0.001954  0.000438
t274    0.002062  0.000186  0.000017  0.000735  0.000003  0.000609   0.001955  0.000438
t275    0.002056  0.000185  0.000017  0.000736  0.000003  0.000608   0.001956  0.000438
t276    0.002051  0.000185  0.000017  0.000736  0.000003  0.000608   0.001957  0.000438
t277    0.002046  0.000184  0.000017  0.000737  0.000003  0.000607   0.001958  0.000438
t278    0.002041  0.000184  0.000017  0.000737  0.000003  0.000607   0.001959  0.000438
t279    0.002036  0.000183  0.000017  0.000737  0.000003  0.000606   0.001960  0.000438
t280    0.002030  0.000183  0.000017  0.000738  0.000003  0.000606   0.001961  0.000438
t281    0.002025  0.000182  0.000017  0.000738  0.000003  0.000605   0.001962  0.000438
t282    0.002020  0.000182  0.000017  0.000739  0.000003  0.000605   0.001963  0.000438
t283    0.002015  0.000182  0.000017  0.000739  0.000003  0.000605   0.001964  0.000438
t284    0.002010  0.000181  0.000017  0.000740  0.000003  0.000604   0.001965  0.000439
t285    0.002005  0.000181  0.000017  0.000740  0.000003  0.000604   0.001966  0.000439
t286    0.002000  0.000180  0.000017  0.000740  0.000003  0.000603   0.001967  0.000439
t287    0.001995  0.000180  0.000017  0.000741  0.000003  0.000603   0.001968  0.000439
t288    0.001990  0.000179  0.000017  0.000741  0.000003  0.000602   0.001969  0.000439
t289    0.001986  0.000179  0.000017  0.000742  0.000003  0.000602   0.001970  0.000439
t290    0.001981  0.000178  0.000017  0.000742  0.000003  0.000602   0.001971  0.000439
t291    0.001976  0.000178  0.000017  0.000742  0.000003  0.000601   0.001971  0.000439
t292    0.001971  0.000178  0.000017  0.000743  0.000003  0.000601   0.001972  0.000439
t293    0.001967  0.000177  0.000017  0.000743  0.000003  0.000600   0.001973  0.000439
t294    0.001962  0.000177  0.000017  0.000743  0.000003  0.000600   0.001974  0.000439
t295    0.001957  0.000176  0.000017  0.000744  0.000003  0.000599   0.001975  0.000439
t296    0.001953  0.000176  0.000017  0.000744  0.000003  0.000599   0.001976  0.000439
t297    0.001948  0.000176  0.000017  0.000745  0.000003  0.000599   0.001977  0.000440
t298    0.001944  0.000175  0.000017  0.000745  0.000003  0.000598   0.001978  0.000440
t299    0.001939  0.000175  0.000017  0.000745  0.000003  0.000598   0.001979  0.000440
t300    0.001935  0.000174  0.000017  0.000746  0.000003  0.000597   0.001980  0.000440
t301    0.001931  0.000174  0.000017  0.000746  0.000003  0.000597   0.001981  0.000440
t302    0.001926  0.000174  0.000017  0.000746  0.000003  0.000596   0.001981  0.000440
t303    0.001922  0.000173  0.000017  0.000747  0.000003  0.000596   0.001982  0.000440
t304    0.001918  0.000173  0.000017  0.000747  0.000003  0.000596   0.001983  0.000440
t305    0.001914  0.000172  0.000017  0.000747  0.000003  0.000595   0.001984  0.000440
t306    0.001909  0.000172  0.000017  0.000748  0.000003  0.000595   0.001985  0.000440
t307    0.001905  0.000172  0.000017  0.000748  0.000003  0.000594   0.001986  0.000440
t308    0.001901  0.000171  0.000017  0.000749  0.000003  0.000594   0.001986  0.000440
